"plot","soil_temp_c","soil_moist_percent","date"
"225","UP_2",21.2,21.7,2023-07-18
"226","UP_2",21.2,43.9,2023-08-18
"227","UP_2",21.2,43.9,2023-08-18
"228","UP_2",21.2,43.9,2023-08-18
"229","UP_1",21.1,NA,2022-07-22
"230","UP_1",21.1,NA,2022-07-22
"231","UP_1",21.1,NA,2022-07-22
"232","UP_1",21.1,20.6,2022-08-12
"233","UP_1",21.1,20.6,2022-08-12
"234","UP_1",21.1,20.6,2022-08-12
"235","UP_2",21.1,29.9,2022-09-16
"236","UP_2",21.1,29.9,2022-09-16
"237","UP_2",21.1,29.9,2022-09-16
"238","UP_1",21,17.3,2022-08-12
"239","UP_1",21,17.3,2022-08-12
"240","UP_1",21,17.3,2022-08-12
"241","SW_1",20.9,35.2,2022-08-12
"242","UP_1",20.9,18.7,2022-08-12
"243","SW_1",20.9,35.2,2022-08-12
"244","UP_1",20.9,18.7,2022-08-12
"245","SW_1",20.9,35.2,2022-08-12
"246","UP_1",20.9,18.7,2022-08-12
"247","UP_2",20.9,45.2,2023-08-18
"248","UP_2",20.9,45.2,2023-08-18
"249","UP_2",20.9,45.2,2023-08-18
"250","UP_1",20.8,36.5,2023-08-18
"251","UP_1",20.8,36.5,2023-08-18
"252","UP_1",20.8,36.5,2023-08-18
"253","UP_1",20.6,16.9,2022-08-12
"254","UP_2",20.6,25.1,2022-08-12
"255","UP_1",20.6,16.9,2022-08-12
"256","UP_2",20.6,25.1,2022-08-12
"257","UP_1",20.6,16.9,2022-08-12
"258","UP_2",20.6,25.1,2022-08-12
"259","SW_1",20.6,43.2,2022-09-02
"260","SW_1",20.6,43.2,2022-09-02
"261","SW_1",20.6,43.2,2022-09-02
"262","SW_1",20.5,41.9,2022-09-02
"263","SW_1",20.5,39.9,2022-09-02
"264","SW_1",20.5,41.9,2022-09-02
"265","SW_1",20.5,39.9,2022-09-02
"266","SW_1",20.5,41.9,2022-09-02
"267","SW_1",20.5,39.9,2022-09-02
"268","SW_1",20.4,37.8,2022-08-12
"269","SW_1",20.4,37.8,2022-08-12
"270","SW_1",20.4,37.8,2022-08-12
"271","UP_1",20.4,23.8,2022-09-16
"272","UP_1",20.4,23.8,2022-09-16
"273","UP_1",20.4,23.8,2022-09-16
"274","SW_1",20.3,40.5,2022-09-02
"275","SW_1",20.3,40.5,2022-09-02
"276","SW_1",20.3,40.5,2022-09-02
"277","SW_1",20.2,47.5,2023-07-18
