plot,mean_wt_c,year
B18,4.596153846153846,1987
B18,4.640287769784172,1995
B18,5.605042016806722,2005
B18,2.9940828402366866,2020
B19,3.512396694214876,1979
B19,3.6594202898550723,1980
B19,4.233333333333333,1981
B19,3.488372093023256,1982
B19,3.7901785714285716,1984
B19,5.023041474654378,1987
B19,4.455882352941177,1995
B19,4.366013071895424,2005
B19,6.412213740458015,2020
B2,5.81981981981982,1979
B2,5.826530612244898,1980
B2,6.123595505617978,1981
B2,5.260162601626016,1982
B2,4.553571428571429,1984
B2,6.991869918699187,1987
B2,6.784,1995
B2,6.5285714285714285,2005
B2,5.811594202898551,2020
B20,2.794392523364486,1979
B20,3.037878787878788,1980
B20,3.1059602649006623,1981
B20,3.056603773584906,1982
B20,4.117647058823529,1984
B20,4.666666666666667,1987
B20,4.803921568627451,1995
B20,5.559485530546624,2005
B20,6.2125,2020
B21,1.4745762711864407,1979
B21,1.552,1980
B21,2.7313432835820897,1981
B21,2.4796747967479673,1982
B21,4.242574257425742,1984
B21,4.309523809523809,1987
B21,3.6814159292035398,1995
B21,3.4555555555555557,2005
B21,3.275261324041812,2020
B22,3.4482758620689653,1979
B22,3.588785046728972,1980
B22,4.4672897196261685,1981
B22,3.4,1982
B22,2.8555555555555556,1984
B22,4.901785714285714,1987
B22,3.8944099378881987,1995
B22,2.237410071942446,2005
B22,3.5531914893617023,2020
B3,3.8395061728395063,1979
B3,3.7157894736842105,1980
B3,3.7126436781609193,1981
B3,3.393939393939394,1982
B3,4,1984
B3,5.258823529411765,1987
B3,5.129770992366412,1995
B3,5.276073619631902,2005
B3,5,2020
B4,4.769230769230769,1979
B4,4.530434782608696,1980
B4,4.055555555555555,1981
B4,4.518518518518518,1982
B4,5.17351598173516,1984
B4,5.553935860058309,1987
B4,3.6862745098039214,1995
B4,3.452830188679245,2005
B4,5.825136612021858,2020
B5,6.959595959595959,1979
B5,7.032467532467533,1980
B5,6.747747747747748,1981
B5,6.948453608247423,1982
B5,4.516666666666667,1984
B5,7.126760563380282,1995
B5,5.379310344827586,2005
B5,5.351351351351352,2020
B6,8.545454545454545,1979
B6,7.467105263157895,1980
B6,7.419540229885057,1981
B6,8.297297297297296,1982
B6,6.071129707112971,1984
B6,6.319230769230769,1987
B6,7.180722891566265,1995
B6,3.435114503816794,2005
B6,4.533980582524272,2020
B7,6.197080291970803,1979
B7,7.587786259541985,1980
B7,5.98639455782313,1981
B7,6.229166666666667,1982
B7,5.4916201117318435,1984
B7,7.136363636363637,1987
B7,6.1373390557939915,1995
B7,5.084745762711864,2005
B7,3.108695652173913,2020
B8,3.4625,1979
B8,3.79,1980
B8,4.838709677419355,1981
B8,5.513888888888889,1982
B8,5.474654377880184,1984
B8,4.698630136986301,1987
B8,4.728,1995
B8,5.231958762886598,2005
B8,4.320754716981132,2020
B9,5.767857142857143,1979
B9,5.857142857142857,1980
B9,5.719298245614035,1981
B9,5.88785046728972,1982
B9,5.913461538461538,1984
B9,5.88785046728972,1987
B9,5.87,1995
B9,5.961538461538462,2005
B9,4.4,2020
C1,5.142857142857143,1979
C1,5.029126213592233,1980
C1,4.71830985915493,1981
C1,4.3764705882352946,1982
C1,4.240963855421687,1984
C1,4.761904761904762,1987
C1,6.395833333333333,1995
C1,7.037037037037037,2005
C1,7.121212121212121,2020
C10,5.512820512820513,1979
C10,5.609756097560975,1980
C10,5.5,1981
C10,5.574074074074074,1982
C10,5.548076923076923,1984
C10,4.915254237288136,1987
C10,5.131147540983607,1995
C10,5.151515151515151,2005
C10,5.451923076923077,2020
C11,6.166666666666667,1979
C11,5.856060606060606,1980
C11,6.411347517730497,1981
C11,5.808333333333334,1982
C11,8.78888888888889,1984
C11,7.3023255813953485,1987
C11,7.0790960451977405,1995
C11,5.735449735449736,2005
C11,4.8559322033898304,2020
C12,4.935779816513762,1979
C12,4.4363636363636365,1980
C12,6.295238095238095,1981
C12,5.1946902654867255,1982
C12,6.570422535211268,1984
C12,5.48868778280543,1987
C12,5.3130434782608695,1995
C12,4.722222222222222,2005
C12,4.9411764705882355,2020
C13,5.9523809523809526,1979
C13,6.3875,1980
C13,6.779220779220779,1981
C13,6.417910447761194,1982
C13,4.484444444444445,1984
C13,5.12807881773399,1987
C13,5.552238805970149,1995
C13,4.262295081967213,2005
C13,3.753086419753086,2020
C14,3.831578947368421,1979
C14,3.967479674796748,1980
C14,3.69811320754717,1981
C14,4.153061224489796,1982
C14,4.935483870967742,1984
C14,5.016129032258065,1987
C14,4.459770114942529,1995
C14,3.4909090909090907,2005
