plot,mean_wt_c,year,total_cover,total_richness
J7,6.15,1982,99,18
C7,6.14,1982,156,24
F9,6.14,1984,191,10
B7,6.14,1995,233,19
J4,6.13,1980,134,18
D3,6.13,1995,187,19
I6,6.12,1979,82,13
C16,6.12,1980,83,19
B2,6.12,1981,89,17
C19,6.12,1984,128,4
J7,6.12,1995,153,15
F15,6.11,1982,95,23
D11,6.11,2005,133,14
C23,6.09,1979,110,15
K7,6.09,1981,87,20
H5,6.09,2005,97,12
G9,6.08,1980,99,21
J4,6.08,1995,153,20
D9,6.07,1979,73,3
D19,6.07,1982,71,3
B6,6.07,1984,239,14
C3,6.07,1995,119,19
G7,6.06,1980,216,22
D14,6.06,1981,124,23
L2,6.06,1984,86,6
G9,6.05,2005,85,13
J4,6.04,1981,111,20
G2,6.04,1987,113,10
E12,6.04,1987,227,18
E4,6.04,1995,167,19
L3,6.03,1981,60,7
E9,6.03,1984,148,6
J11,6.03,2005,62,12
C7,6.03,2020,151,19
D9,6.02,1984,129,5
H1,6.02,2005,48,17
D9,6.01,1980,89,3
E20,6,1979,75,2
D22,6,1987,141,7
C23,6,1987,280,13
D20,6,2005,100,5
G9,6,2020,111,11
E12,5.99,1979,115,14
I4,5.99,1979,71,13
B7,5.99,1981,147,17
K6,5.99,1982,107,17
G2,5.99,1984,123,16
H7,5.99,1987,179,15
D21,5.99,1987,139,8
D6,5.99,2020,90,14
E17,5.98,1984,145,15
D6,5.98,1995,115,20
E3,5.98,1995,156,19
C2,5.98,2020,137,21
E3,5.97,1982,116,17
F11,5.96,1979,47,12
D9,5.96,1981,71,4
G9,5.96,1984,139,18
B9,5.96,2005,26,3
C13,5.95,1979,63,9
H10,5.95,2020,116,12
I1,5.95,2020,57,7
E8,5.94,1981,90,5
H5,5.94,1981,122,13
D13,5.94,1982,100,21
H5,5.93,1982,89,15
E22,5.93,1984,163,7
J5,5.93,2020,114,13
E8,5.91,1979,82,4
L3,5.91,1980,69,6
B9,5.91,1984,104,4
E7,5.91,1984,99,20
D2,5.91,2005,68,20
C21,5.91,2020,114,6
G16,5.91,2020,53,14
K6,5.9,1979,90,15
E11,5.9,1982,81,21
C9,5.9,1984,110,4
K6,5.9,1984,224,18
C9,5.9,2020,21,2
K7,5.89,1979,57,16
B9,5.89,1982,107,4
J6,5.89,1984,192,13
D7,5.89,1984,184,17
B9,5.89,1987,107,4
H3,5.89,1987,195,15
E15,5.89,1987,140,25
C5,5.89,1995,137,24
K2,5.88,1979,83,3
E8,5.88,1980,97,4
E9,5.88,1980,80,3
D3,5.88,1982,106,17
E9,5.87,1979,71,3
D6,5.87,1984,165,12
B9,5.87,1995,100,4
B9,5.86,1980,91,4
C11,5.86,1980,132,17
C23,5.86,1982,90,15
F5,5.86,1984,140,12
D16,5.85,1979,99,18
D20,5.85,1982,55,3
D6,5.85,1987,190,15
E3,5.84,1984,171,10
I7,5.83,1979,95,17
D18,5.83,1979,94,3
B2,5.83,1980,98,16
H9,5.83,1995,181,27
B4,5.83,2020,183,11
B2,5.82,1979,111,16
G9,5.82,1987,154,20
I10,5.82,1995,103,17
E7,5.82,2020,213,16
G20,5.82,2020,99,3
D20,5.81,1979,53,3
D9,5.81,1982,84,4
C11,5.81,1982,120,18
E16,5.81,1984,185,13
D9,5.81,1987,108,5
I1,5.81,2005,48,9
F2,5.81,2005,88,19
B2,5.81,2020,138,9
E11,5.8,1995,163,19
F6,5.8,2020,88,6
E9,5.79,1981,70,3
C17,5.79,1987,193,17
F2,5.79,2020,107,20
D3,5.78,1979,130,14
E8,5.78,1982,115,4
C9,5.78,1982,110,3
C22,5.78,1984,181,15
D18,5.78,1987,123,7
J9,5.78,2020,123,16
B9,5.77,1979,56,4
K6,5.77,1987,197,17
F11,5.76,1980,78,19
E9,5.76,1982,111,4
C19,5.76,2005,93,6
C9,5.75,1980,88,3
L3,5.74,1979,61,5
D11,5.74,1987,178,19
E1,5.74,1995,114,18
C11,5.74,2005,189,10
I4,5.73,1981,91,17
E12,5.73,1984,177,15
C9,5.73,1987,98,3
C8,5.73,1987,228,16
E8,5.73,1987,110,9
J8,5.73,1995,142,21
C22,5.72,1980,128,15
B9,5.72,1981,57,4
H7,5.72,1984,173,17
H5,5.72,1984,192,12
I8,5.72,2020,122,13
C9,5.71,1979,49,3
G7,5.71,1981,125,23
D21,5.71,1981,45,7
E12,5.71,1981,107,15
F12,5.71,1984,111,5
D2,5.7,1982,99,16
B10,5.7,2005,57,4
D9,5.7,2005,43,5
E2,5.69,1984,132,14
D6,5.68,1981,105,12
D9,5.68,1995,106,6
B1,5.67,1995,119,19
F6,5.67,2005,36,10
F13,5.66,1982,100,9
C8,5.66,1984,166,22
F7,5.66,2005,73,12
D13,5.65,1979,95,17
D14,5.65,1979,97,22
D14,5.65,1980,104,22
K4,5.65,1981,93,14
E11,5.65,1984,117,11
G7,5.65,2020,95,11
E8,5.64,2005,55,6
E17,5.63,1979,115,16
F9,5.62,1982,115,9
C10,5.61,1980,82,4
H6,5.61,1980,150,12
C5,5.61,1981,132,22
F15,5.61,1981,138,23
F1,5.61,1995,142,18
E10,5.61,1995,134,12
D10,5.61,1995,117,16
B18,5.61,2005,119,15
G15,5.61,2020,155,15
J7,5.6,1981,104,19
F3,5.6,1981,126,19
B16,5.6,1987,174,22
E6,5.6,1987,188,19
J5,5.6,2005,121,14
D10,5.6,2020,126,13
F15,5.59,1979,111,19
D2,5.59,1981,99,17
C20,5.59,1982,82,10
G7,5.59,2005,157,13
F1,5.59,2005,56,14
E1,5.59,2020,56,12
H7,5.59,2020,104,16
D4,5.58,1984,161,11
K5,5.58,1984,130,10
K4,5.58,1987,151,10
E9,5.58,1995,97,6
F11,5.58,2005,149,12
D15,5.58,2005,157,21
D14,5.58,2020,71,13
F13,5.57,1979,98,9
H5,5.57,1979,109,13
E16,5.57,1981,157,20
C10,5.57,1982,108,4
G15,5.57,2005,137,17
J7,5.56,1979,101,16
B20,5.56,2005,311,8
F6,5.55,1981,86,15
C10,5.55,1984,104,6
B4,5.55,1987,343,33
C13,5.55,1995,335,27
H2,5.55,2005,75,17
C17,5.54,1995,57,15
E4,5.54,2020,185,13
C2,5.53,1984,110,12
E4,5.53,1987,175,19
C17,5.53,2005,36,10
G21,5.53,2020,95,3
E19,5.52,1984,77,3
E9,5.52,1987,128,5
E19,5.52,1987,127,7
K7,5.52,1987,226,18
C10,5.51,1979,78,4
D10,5.51,1979,65,15
B8,5.51,1982,72,14
G12,5.51,1984,125,9
H5,5.51,1987,61,10
E16,5.5,1979,94,14
D3,5.5,1980,107,14
C10,5.5,1981,76,4
D11,5.5,1984,171,17
D18,5.5,1995,40,2
F16,5.5,2005,80,13
J10,5.5,2005,36,19
C22,5.5,2020,50,7
D2,5.49,1984,126,12
B7,5.49,1984,179,17
E15,5.49,1984,211,18
C12,5.49,1987,221,16
D1,5.49,2020,87,13
F13,5.48,1980,105,10
I7,5.48,1981,89,17
B10,5.48,1982,100,9
F7,5.48,2020,124,9
K4,5.47,1980,111,17
D13,5.47,1981,110,19
D14,5.47,1982,92,24
D7,5.47,1982,92,17
B8,5.47,1984,217,22
C9,5.47,1995,95,4
B17,5.47,1995,88,16
E20,5.47,2005,75,3
H10,5.46,1984,155,12
G10,5.46,1984,219,10
H2,5.46,1995,134,19
E12,5.46,1995,204,19
B10,5.45,1979,99,9
F11,5.45,1981,103,21
C10,5.45,2020,104,4
C20,5.44,1980,93,12
K2,5.44,1980,96,4
C5,5.44,1980,147,20
L5,5.44,1981,106,14
D1,5.44,1982,75,20
D17,5.44,1987,187,17
J3,5.44,1995,181,10
E11,5.43,1979,76,14
D2,5.43,1980,91,15
H10,5.43,2005,44,13
G1,5.43,2005,91,18
J7,5.42,1987,210,18
J3,5.42,1987,151,13
C23,5.41,1981,93,15
D11,5.41,1982,101,24
F9,5.41,1995,148,11
F21,5.41,2020,110,3
D13,5.4,1980,124,18
F13,5.4,1981,108,13
K7,5.4,1982,100,21
D8,5.4,1984,156,14
E8,5.4,1995,119,6
H10,5.4,1995,108,19
E6,5.4,1995,88,18
F9,5.39,1980,137,7
E3,5.39,1980,158,17
J7,5.39,1980,122,18
D10,5.39,1984,121,13
C18,5.39,1987,208,18
C15,5.39,1987,145,21
G9,5.39,1995,160,25
E3,5.38,1979,150,15
F9,5.38,1979,108,7
D11,5.38,1980,130,21
H6,5.38,1981,141,16
B16,5.38,1982,129,20
D16,5.38,1995,88,22
B5,5.38,2005,174,12
H2,5.38,2020,60,11
F7,5.37,1984,178,21
G12,5.37,1987,149,9
G13,5.36,1984,75,11
J1,5.36,1995,116,7
K7,5.36,1995,138,15
I10,5.36,2005,55,12
J8,5.36,2005,81,19
B5,5.35,2020,111,14
G2,5.34,1979,59,13
H5,5.34,1980,137,13
C8,5.34,1982,136,20
H9,5.34,1987,193,24
I4,5.34,1995,160,21
D12,5.34,1995,173,17
C18,5.34,2005,213,7
D4,5.33,1982,86,15
D3,5.33,1984,105,11
H6,5.33,2005,64,10
G14,5.33,2005,52,13
D20,5.32,1980,68,3
D15,5.32,1982,88,20
D8,5.32,1987,194,19
C3,5.32,2020,120,17
B16,5.31,1979,101,15
E3,5.31,1981,125,16
L3,5.31,1982,65,9
E6,5.31,1984,80,9
C12,5.31,1995,115,14
D12,5.3,1982,77,17
C18,5.3,1995,113,15
E16,5.3,1995,87,20
D11,5.3,1995,149,18
B10,5.29,1980,106,10
F12,5.29,1982,94,5
J2,5.29,1984,38,6
D1,5.29,1984,73,10
B13,5.29,2020,126,12
F8,5.28,1980,159,16
B13,5.28,1984,231,14
F8,5.28,1995,160,19
B3,5.28,2005,163,15
C20,5.27,1981,126,15
E22,5.27,1981,89,15
F12,5.27,1987,137,10
E16,5.26,1980,119,19
B2,5.26,1982,123,17
B3,5.26,1987,170,15
L3,5.26,1987,120,6
E10,5.26,2005,69,7
C16,5.25,1979,65,15
C9,5.25,1981,40,3
F8,5.25,1981,176,19
C22,5.25,1981,146,16
B10,5.25,1987,126,14
E15,5.25,2005,117,15
E11,5.25,2020,76,14
I7,5.24,1980,123,17
H7,5.24,1981,118,18
C5,5.24,1984,227,14
C15,5.24,1984,159,19
B15,5.24,1987,131,14
D10,5.24,1987,191,21
F16,5.24,2020,98,15
E10,5.23,1987,175,19
F10,5.23,1995,212,22
B8,5.23,2005,194,11
G6,5.23,2005,147,11
B10,5.22,1984,160,7
K3,5.22,2005,68,4
D15,5.22,2020,130,12
D7,5.21,1981,119,20
B14,5.21,1984,155,16
F3,5.2,1982,137,19
F2,5.2,1984,131,16
D17,5.2,2005,61,7
C12,5.19,1982,113,15
E4,5.19,1984,171,11
G16,5.19,1995,69,19
G7,5.19,1995,223,22
H1,5.19,2020,52,14
E5,5.17,1982,132,10
F3,5.17,1984,132,14
B4,5.17,1984,219,15
C18,5.17,1984,126,25
G14,5.17,1987,159,17
C20,5.17,1987,133,12
E10,5.17,2020,114,16
B16,5.16,1981,111,18
I10,5.16,1984,176,12
J9,5.16,2005,91,16
C5,5.15,1979,135,21
G2,5.15,1980,66,13
C22,5.15,1982,128,18
C10,5.15,2005,33,4
C1,5.14,1979,70,12
C20,5.13,1979,85,8
D8,5.13,1979,101,12
C22,5.13,1979,127,14
C13,5.13,1987,203,21
C10,5.13,1995,61,8
G1,5.13,1995,168,18
B3,5.13,1995,131,19
I8,5.13,1995,117,9
J6,5.13,2020,122,14
C21,5.12,1995,107,17
K6,5.12,1995,190,20
E5,5.12,2005,98,11
F15,5.12,2020,139,16
G14,5.11,1984,171,12
F9,5.11,1987,183,11
G15,5.11,1995,151,16
D7,5.11,2020,131,15
D9,5.11,2020,80,5
G12,5.1,1979,105,4
H8,5.1,1980,171,12
B12,5.1,1982,99,13
K5,5.1,1982,109,18
