plot,mean_wt_c,year,total_cover,total_richness
I13,0.16,1979,74,9
A20,0.14,1984,245,9
A18,0.14,2005,66,7
A25,0.13,1980,120,4
A16,0.12,1987,146,7
A17,0.11,1987,181,8
H11,0.1,1979,101,8
L18,0.09,2005,106,4
L10,0.08,1979,91,11
A24,0.08,1982,119,6
A24,0.06,1980,88,5
A24,0.05,1984,293,5
A24,0.03,1979,88,3
L13,0.02,1979,101,2
L13,0.02,1982,111,5
A25,0.02,1984,219,8
L13,0.01,1980,101,3
A25,0,1979,103,3
H13,0,1979,92,7
A24,0,1981,102,4
A25,0,1981,130,5
H13,0,1981,92,7
A24,0,1987,100,5
A25,0,1987,143,5
L1,0,2005,62,7
